"Book_id";"COURSE_CODE";"COURSE_NAME";"BOOK_NAME";"ISBN";"AUTHOR";"NEW_PRICE";"USED_PRICE";"RENT_PRICE";"E_TEXTBOOK_PRICE";"b_img"
1;"IT 600";"Research Methods";"Research Methods";"978-1111840624";"Donald McBurney, Theresa L White, Donald H McBurney, Theresa White ";232.79;108.06;97.49;158.49;"C:UsersmanjuDesktopMinnesota state universitySpring-2017680phase2htmlfilesimagesRM.jpg"
2;"IT 640";"Advanced Database Systems";"Advanced Database Systems";"978-1558604438";"Carlo Zaniolo, Stefano Ceri, Christos Faloutsos, Richard T. Snodgrass ";67.45;20.5;40.35;50.98;""
3;"IT 641";"Distributed Database Systems";"Distributed Database Systems";"978-0201544008";"David Bell, Jane Grimson ";20.98;15.67;10.67;12.34;""
4;"IT 662";"Data Communications and Networking";"Data Communications and Networking";"978-0073250328";"Behrouz Forouzan";35.0;28.16;30.0;32.0;""
5;"IT 540 ";"Database Management Systems II";"Database Management Systems II";"978-0072465631";"Raghu Ramakrishnan, Johannes Gehrke";228.59;88.31;44.16;24.28;""
6;"IT 542";"Database Security, Auditing, and Disaster Recovery";"Database Security and Auditing";"978-0619215590";"Hassan A. Afyouni";66.95;34.18;41.02;30.45;""
7;"IT 544";"Data Mining and Warehousing";"Data Warehousing, Data Mining, and OLAP";"978-0070062726";"Alex Berson, Stephen J. Smith";11.99;5.98;7.88;9.99;""
8;"IT 583";"Web Application and Human Interface Design";"Web Application Design Handbook";"978-1558607521";"Susan Fowler, Victor Stanwick";78.95;50.95;45.45;50.45;""
9;"IT 550";"Information Warfare  ";"Information Warfare ";"978-1560251323";"Winn Schwartau";50.0;35.0;25.0;30.45;""
10;"IT 560";"Network and Security Protocols";"Guide to Network Security Fundamentals";"978-1305093911";"Mark Ciampa";168.98;119.92;100.98;75.0;""
11;"IT 562";"Network Administration and Programming";"CISA Certified Information Systems Auditor All-in-One Exam Guide";"978-1259584169";"Peter H. Gregory ";47.53;42.73;30.89;35.0;""
12;"IT 564";"Application of Wireless and Mobile Networks ";"Wireless and Mobile Networks";" 978-8126520695";"Sunilkumar S. Manvi";35.78;30.89;25.0;28.65;""
13;"IT 514";"Advance Object–Oriented Programming with Design Pattern";"Advanced Object Oriented Programming with Visual FoxPro 6.0";"978-0965509381";"Markus Egger, Mac Rubel";48.96;40.0;30.53;25.44;""
14;"IT 580";"Software Quality Assurance and Testing";"Software Testing and Quality Assurance";"978-0471789116";"Kshirasagar Naik , Priyadarshi Tripathy ";65.0;60.32;45.43;50.32;""
15;"IT 582";"Human Computer Interaction";"Designing User Interfaces for an Aging Population";"978-0128044674";"Jeff Johnson, Kate Finn ";48.32;40.32;32.89;35.34;""
16;"IT 584";"Software Engineering";"Software Engineering";"978-0137035151";"Ian Sommerville";40.32;36.65;25.32;37.32;""
17;"IT 630";"Advanced Artificial Intelligence";"Advanced Artificial Intelligence";"978-9814291347";"Zhongzhi Shi ";168.0;135.31;100.21;120.31;""
18;"MBA 612";"Data Analysis and Statistics for Managers";"Data Analysis and Decision Making";" 978-0538476126";"S. Christian Albright, Wayne Winston, Christopher Zappe";50.32;45.32;42.43;58.42;""
19;"MBA 614";"Economic Analysis for Managers";"Economics for Managers";"978-0132773706";"Paul G. Farnham";169.99;140.32;56.32;56.43;""
20;"MBA 623";"Legal and Ethical Environment of Business";"The Legal Environment of Business & Ethics";"978-1454815204";"Gerald R. Ferrera";98.21;72.32;65.32;80.32;""
21;"MBA 630";"Accounting for Management";"Managerial Accounting";"978-0078111006";"Ray Garrison, Eric Noreen, Peter Brewer";32.31;25.21;20.21;27.21;""
22;"MBA 634";"Investment and Financial Decisions";"Capital investment and financial decisions";"978-0131135895";"Haim Levy";100.21;78.32;68.32;80.32;""
23;"MBA 642";"Management of Human Resources";"Management of Human Resources";" 978-0538453158";"Robert L. Mathis, John H. Jackson ";279.21;100.21;79.32;148.32;""
24;"MBA 645";"Information Technology and Systems Management";"Systems Management for Information Technology and Software Engineering";" 978-0471015833";"Andrew P. Sage ";150.42;120.21;100.21;130.32;""
25;"MBA 651";"Managing Behavior in a Changing World";"Politics in a Changing World";"978-1285438078";"Marcus E. Ethridge, Howard Handelman";170.32;150.32;120.32;130.32;""
26;"MBA 657";"Managing Service and Manufacturing Operations";"Manufacturing Operations and Supply Chain Management";"978-1861526045";"David L. Taylor, David Brunt";45.32;39.32;35.32;42.32;""
27;"MBA 681";"Global Business Strategy";"Global Business Strategy";"978-1861523525";"Robin John (Author), Grazia Ietto Gillies, Howard Cox, Nigel Grimwade";65.42;45.32;35.32;56.32;""
28;"MBA 683";"Marketing Strategy";"Marketing Strategy";"978-0538467384";"O. C. Ferrell, Michael D. Hartline";40.32;30.32;26.32;38.23;""
29;"MBA 695";"Strategic Management and Business Policy";"Strategic Management and Business Policy";"978-0130651211";"Thomas L. Wheelen, David J. Hunger, J. David Hunger";50.32;37.32;30.32;45.32;""
30;"MBA 667";"Organizational Development and Change";"Organizational Development and Change";"978-1133190455";"Thomas G. Cummings, Christopher G. Worley";200.32;150.42;100.32;170.32;""
31;"MBA 676";"International Finance";"International Finance";"978-0415774598";"Maurice D. Levi";63.32;55.32;47.75;58.43;""
32;"MBA 674";"International Management";"International Management";"978-1405173995";"Richard Mead, Tim G. Andrews";60.43;45.43;38.32;55.32;""
33;"MBA 672";"International Marketing";"International Marketing";"978-0073529943";"Philip Cateora, Mary Gilly, John Graham";40.43;35.43;30.32;38.32;""
34;"MET 507";"Manufacturing Resource Planning and Control";"Manufacturing Resource Planning (MRP II) with Introduction to ERP, SCM, and CRM ";"978-0071392303";"Khalid Sheikh ";148.32;120.32;99.23;130.31;""
35;"MET 523";"Ergonomics & Work Measurement";"Work Measurement and Methods Improvement";"978-0471370895";" Lawrence S. Aft";145.32;100.32;73.32;138.32;""
36;"MET 524";"Industrial Safety";"Industrial Safety and Risk Management";"978-0888643940";"Industrial Professor Laird Wilson, Industrial Professor Doug McCutcheon P.Eng. , Doug McCutcheon";45.43;38.32;25.32;40.32;""
37;"MET 525";"Project & Value Management";"Fundamentals of Project Management";"978-0814417485";"Joseph Heagney ";32.31;20.21;15.43;27.32;""
38;"MET 526 ";"Logistics & Transportation";"A Practical Guide to Transportation and Logistics";"978-0970811516";"Michael B. Stroh ";40.32;25.32;23.21;37.32;""
39;"MET 527";"Quality Management Systems";"Quality Management Systems";"978-1574442618";"Howard S Gitlow";80.23;60.23;58.21;66.21;""
